label,name,type,length,precision,scale,custom
Opportunity ID,Id,id,18,0,0,False
Deleted,IsDeleted,boolean,0,0,0,False
Account ID,AccountId,reference,18,0,0,False
Record Type ID,RecordTypeId,reference,18,0,0,False
Private,IsPrivate,boolean,0,0,0,False
Name,Name,string,120,0,0,False
Description,Description,textarea,32000,0,0,False
Stage,StageName,picklist,255,0,0,False
Amount,Amount,currency,0,18,2,False
Probability (%),Probability,percent,0,3,0,False
Expected Amount,ExpectedRevenue,currency,0,18,2,False
Quantity,TotalOpportunityQuantity,double,0,18,2,False
Close Date,CloseDate,date,0,0,0,False
Opportunity Type,Type,picklist,255,0,0,False
Next Step,NextStep,string,255,0,0,False
Lead Source,LeadSource,picklist,255,0,0,False
Closed,IsClosed,boolean,0,0,0,False
Won,IsWon,boolean,0,0,0,False
Forecast Category,ForecastCategory,picklist,40,0,0,False
Forecast Category,ForecastCategoryName,picklist,255,0,0,False
Campaign ID,CampaignId,reference,18,0,0,False
Has Line Item,HasOpportunityLineItem,boolean,0,0,0,False
Is Split,IsSplit,boolean,0,0,0,False
Price Book ID,Pricebook2Id,reference,18,0,0,False
Owner ID,OwnerId,reference,18,0,0,False
Created Date,CreatedDate,datetime,0,0,0,False
Age,AgeInDays,int,0,0,0,False
Created By ID,CreatedById,reference,18,0,0,False
Last Modified Date,LastModifiedDate,datetime,0,0,0,False
Last Modified By ID,LastModifiedById,reference,18,0,0,False
System Modstamp,SystemModstamp,datetime,0,0,0,False
Last Activity,LastActivityDate,date,0,0,0,False
Recent Activity,LastActivityInDays,int,0,0,0,False
Push Count,PushCount,int,0,0,0,False
Last Stage Change Date,LastStageChangeDate,datetime,0,0,0,False
Days In Stage,LastStageChangeInDays,int,0,0,0,False
Fiscal Quarter,FiscalQuarter,int,0,0,0,False
Fiscal Year,FiscalYear,int,0,0,0,False
Fiscal Period,Fiscal,string,6,0,0,False
Contact ID,ContactId,reference,18,0,0,False
Last Viewed Date,LastViewedDate,datetime,0,0,0,False
Last Referenced Date,LastReferencedDate,datetime,0,0,0,False
Quote ID,SyncedQuoteId,reference,18,0,0,False
Contract ID,ContractId,reference,18,0,0,False
Has Open Activity,HasOpenActivity,boolean,0,0,0,False
Has Overdue Task,HasOverdueTask,boolean,0,0,0,False
Opportunity History ID,LastAmountChangedHistoryId,reference,18,0,0,False
Opportunity History ID,LastCloseDateChangedHistoryId,reference,18,0,0,False
Important,IsPriorityRecord,boolean,0,0,0,False
Activity Metric ID,ActivityMetricId,reference,18,0,0,False
Activity Metric Rollup ID,ActivityMetricRollupId,reference,18,0,0,False
Branch (Old),Branch_Old__c,string,1300,0,0,True
Project Start Date,Project_Start_Date__c,date,0,0,0,True
Bid Due Date,Bid_Due_Date__c,date,0,0,0,True
Definitive ID,texcellency__DefHC_HospitalID__c,double,0,18,0,True
Loss Reason,Loss_Reason__c,picklist,255,0,0,True
RFP ID,texcellency__DefHC_RFPID__c,double,0,18,0,True
GUID,GUID__c,string,32,0,0,True
Competition,Competition__c,textarea,255,0,0,True
Bid,Bid__c,boolean,0,0,0,True
Budgeted Cost,Budgeted_Cost__c,currency,0,18,2,True
End Customer,End_Customer__c,reference,18,0,0,True
Estimated Project End Date,Estimated_Project_End_Date__c,date,0,0,0,True
GP %,Gross_Profit_Percentage__c,percent,0,18,2,True
Gross Profit,Gross_Profit__c,currency,0,18,2,True
Job Number,Job_Number__c,string,40,0,0,True
Job Walk Date,Job_Walk_Date__c,date,0,0,0,True
Loss Other Reason,Loss_Other_Reason__c,string,255,0,0,True
Project Number,Project_Number__c,string,40,0,0,True
Quote Number,Quote_Number__c,string,40,0,0,True
RFI Due Date,RFI_Due_Date__c,date,0,0,0,True
Project Number Requested,Project_Number_Requested__c,boolean,0,0,0,True
Weighted AVG,Weighted_AVG__c,currency,0,18,0,True
Weighted Avg GP,Weigthed_Avg_GP__c,currency,0,18,0,True
