label,name,type,length,precision,scale,custom
Record ID,Id,id,18,0,0,False
Deleted,IsDeleted,boolean,0,0,0,False
Line Name,Name,string,80,0,0,False
Created Date,CreatedDate,datetime,0,0,0,False
Created By ID,CreatedById,reference,18,0,0,False
Last Modified Date,LastModifiedDate,datetime,0,0,0,False
Last Modified By ID,LastModifiedById,reference,18,0,0,False
System Modstamp,SystemModstamp,datetime,0,0,0,False
Quote,SBQQ__Quote__c,reference,18,0,0,True
Additional Disc. (Amt),SBQQ__AdditionalDiscountAmount__c,currency,0,14,2,True
Additional Quantity,SBQQ__AdditionalQuantity__c,double,0,12,2,True
Allow Asset Refunds,SBQQ__AllowAssetRefund__c,boolean,0,0,0,True
Batch Quantity,SBQQ__BatchQuantity__c,double,0,12,2,True
Billing Frequency,SBQQ__BillingFrequency__c,picklist,255,0,0,True
Billing Type,SBQQ__BillingType__c,picklist,255,0,0,True
Block Price,SBQQ__BlockPrice__c,reference,18,0,0,True
Package,SBQQ__Bundle__c,boolean,0,0,0,True
Original Quantity,SBQQ__BundledQuantity__c,double,0,12,2,True
Bundled,SBQQ__Bundled__c,boolean,0,0,0,True
Carry-Over Line,SBQQ__CarryoverLine__c,boolean,0,0,0,True
Charge Type,SBQQ__ChargeType__c,picklist,255,0,0,True
Component Cost,SBQQ__ComponentCost__c,currency,0,16,2,True
Component Discounted By Package,SBQQ__ComponentDiscountedByPackage__c,boolean,0,0,0,True
Component List Total,SBQQ__ComponentListTotal__c,currency,0,16,2,True
Component Percent of Total Scope,SBQQ__ComponentSubscriptionScope__c,picklist,255,0,0,True
Component Net Total,SBQQ__ComponentTotal__c,currency,0,16,2,True
Component Uplifted By Package,SBQQ__ComponentUpliftedByPackage__c,boolean,0,0,0,True
Compound Discount (%),SBQQ__CompoundDiscountRate__c,percent,0,8,3,True
Configuration Required,SBQQ__ConfigurationRequired__c,boolean,0,0,0,True
Contracted Price,SBQQ__ContractedPrice__c,reference,18,0,0,True
Cost Editable,SBQQ__CostEditable__c,boolean,0,0,0,True
Cost,SBQQ__Cost__c,reference,18,0,0,True
Customer Unit Price,SBQQ__CustomerPrice__c,currency,0,14,2,True
Default Subscription Term,SBQQ__DefaultSubscriptionTerm__c,double,0,5,0,True
Description,SBQQ__Description__c,textarea,32000,0,0,True
Price Dimension,SBQQ__Dimension__c,reference,18,0,0,True
Discount Schedule Type,SBQQ__DiscountScheduleType__c,picklist,255,0,0,True
Discount Schedule,SBQQ__DiscountSchedule__c,reference,18,0,0,True
Discount Tier,SBQQ__DiscountTier__c,reference,18,0,0,True
Additional Disc. (%),SBQQ__Discount__c,percent,0,11,2,True
Distributor Discount,SBQQ__DistributorDiscount__c,percent,0,5,2,True
Dynamic Option ID,SBQQ__DynamicOptionId__c,string,40,0,0,True
Earliest Valid Amendment Start Date,SBQQ__EarliestValidAmendmentStartDate__c,date,0,0,0,True
End Date,SBQQ__EndDate__c,date,0,0,0,True
Existing,SBQQ__Existing__c,boolean,0,0,0,True
Favorite,SBQQ__Favorite__c,reference,18,0,0,True
Generate Contracted Price,SBQQ__GenerateContractedPrice__c,picklist,255,0,0,True
Gross Profit,SBQQ__GrossProfit__c,currency,0,16,2,True
Group,SBQQ__Group__c,reference,18,0,0,True
Guidance,SBQQ__Guidance__c,percent,0,18,2,True
Has Consumption Schedules,SBQQ__HasConsumptionSchedule__c,boolean,0,0,0,True
Hidden,SBQQ__Hidden__c,boolean,0,0,0,True
Incomplete,SBQQ__Incomplete__c,boolean,0,0,0,True
List Unit Price,SBQQ__ListPrice__c,currency,0,14,2,True
Markup (Amt),SBQQ__MarkupAmount__c,currency,0,16,2,True
Markup (%),SBQQ__MarkupRate__c,percent,0,8,2,True
Maximum List Unit Price,SBQQ__MaximumPrice__c,currency,0,16,2,True
Minimum List Unit Price,SBQQ__MinimumPrice__c,currency,0,18,0,True
Net Unit Price,SBQQ__NetPrice__c,currency,0,14,2,True
Non Discountable,SBQQ__NonDiscountable__c,boolean,0,0,0,True
Non Partner Discountable,SBQQ__NonPartnerDiscountable__c,boolean,0,0,0,True
Number,SBQQ__Number__c,double,0,5,0,True
Option Discount (Amt),SBQQ__OptionDiscountAmount__c,currency,0,12,2,True
Option Discount (%),SBQQ__OptionDiscount__c,percent,0,5,2,True
Option Level,SBQQ__OptionLevel__c,double,0,5,0,True
Option Type,SBQQ__OptionType__c,picklist,255,0,0,True
Optional,SBQQ__Optional__c,boolean,0,0,0,True
Original Price,SBQQ__OriginalPrice__c,currency,0,14,2,True
Original Quote Line Id,SBQQ__OriginalQuoteLineId__c,string,255,0,0,True
Original Unit Cost,SBQQ__OriginalUnitCost__c,currency,0,16,2,True
Package Product Code,SBQQ__PackageProductCode__c,string,255,0,0,True
Package Product Description,SBQQ__PackageProductDescription__c,textarea,32000,0,0,True
Partner Discount,SBQQ__PartnerDiscount__c,percent,0,5,2,True
Partner Unit Price,SBQQ__PartnerPrice__c,currency,0,14,2,True
Previous Segment Regular Price,SBQQ__PreviousSegmentPrice__c,currency,0,14,2,True
Previous Segment Uplift,SBQQ__PreviousSegmentUplift__c,currency,0,12,2,True
Price Editable,SBQQ__PriceEditable__c,boolean,0,0,0,True
Pricebook Entry Id,SBQQ__PricebookEntryId__c,string,64,0,0,True
Pricing Method Editable,SBQQ__PricingMethodEditable__c,boolean,0,0,0,True
Pricing Method,SBQQ__PricingMethod__c,picklist,255,0,0,True
Prior Quantity,SBQQ__PriorQuantity__c,double,0,12,2,True
Product Option,SBQQ__ProductOption__c,reference,18,0,0,True
Product Subscription Type,SBQQ__ProductSubscriptionType__c,picklist,255,0,0,True
Product,SBQQ__Product__c,reference,18,0,0,True
Prorate Multiplier,SBQQ__ProrateMultiplier__c,double,0,8,4,True
Prorated List Price,SBQQ__ProratedListPrice__c,currency,0,18,2,True
Prorated Unit Price,SBQQ__ProratedPrice__c,currency,0,14,2,True
Quantity,SBQQ__Quantity__c,double,0,12,2,True
Regular Unit Price,SBQQ__RegularPrice__c,currency,0,14,2,True
Renewal,SBQQ__Renewal__c,boolean,0,0,0,True
