label,name,type,length,precision,scale,custom
User ID,Id,id,18,0,0,False
Username,Username,string,80,0,0,False
Last Name,LastName,string,80,0,0,False
First Name,FirstName,string,40,0,0,False
Middle Name,MiddleName,string,40,0,0,False
Suffix,Suffix,string,40,0,0,False
Full Name,Name,string,121,0,0,False
Company Name,CompanyName,string,80,0,0,False
Division,Division,string,80,0,0,False
Department,Department,string,80,0,0,False
Title,Title,string,80,0,0,False
Street,Street,textarea,255,0,0,False
City,City,string,40,0,0,False
State/Province,State,string,80,0,0,False
Zip/Postal Code,PostalCode,string,20,0,0,False
Country,Country,string,80,0,0,False
Latitude,Latitude,double,0,18,15,False
Longitude,Longitude,double,0,18,15,False
Geocode Accuracy,GeocodeAccuracy,picklist,40,0,0,False
Address,Address,address,0,0,0,False
Email,Email,email,128,0,0,False
AutoBcc,EmailPreferencesAutoBcc,boolean,0,0,0,False
AutoBccStayInTouch,EmailPreferencesAutoBccStayInTouch,boolean,0,0,0,False
StayInTouchReminder,EmailPreferencesStayInTouchReminder,boolean,0,0,0,False
Email Sender Address,SenderEmail,email,80,0,0,False
Email Sender Name,SenderName,string,80,0,0,False
Email Signature,Signature,textarea,1333,0,0,False
Stay-in-Touch Email Subject,StayInTouchSubject,string,80,0,0,False
Stay-in-Touch Email Signature,StayInTouchSignature,textarea,512,0,0,False
Stay-in-Touch Email Note,StayInTouchNote,string,512,0,0,False
Phone,Phone,phone,40,0,0,False
Fax,Fax,phone,40,0,0,False
Mobile,MobilePhone,phone,40,0,0,False
Alias,Alias,string,8,0,0,False
Nickname,CommunityNickname,string,40,0,0,False
User Photo badge text overlay,BadgeText,string,80,0,0,False
Active,IsActive,boolean,0,0,0,False
Time Zone,TimeZoneSidKey,picklist,40,0,0,False
Role ID,UserRoleId,reference,18,0,0,False
Locale,LocaleSidKey,picklist,40,0,0,False
Info Emails,ReceivesInfoEmails,boolean,0,0,0,False
Admin Info Emails,ReceivesAdminInfoEmails,boolean,0,0,0,False
Email Encoding,EmailEncodingKey,picklist,40,0,0,False
Profile ID,ProfileId,reference,18,0,0,False
User Type,UserType,picklist,40,0,0,False
Start of Day,StartDay,picklist,40,0,0,False
End of Day,EndDay,picklist,40,0,0,False
Language,LanguageLocaleKey,picklist,40,0,0,False
Employee Number,EmployeeNumber,string,20,0,0,False
Delegated Approver ID,DelegatedApproverId,reference,18,0,0,False
Manager ID,ManagerId,reference,18,0,0,False
Last Login,LastLoginDate,datetime,0,0,0,False
Last Password Change or Reset,LastPasswordChangeDate,datetime,0,0,0,False
Created Date,CreatedDate,datetime,0,0,0,False
Created By ID,CreatedById,reference,18,0,0,False
Last Modified Date,LastModifiedDate,datetime,0,0,0,False
Last Modified By ID,LastModifiedById,reference,18,0,0,False
System Modstamp,SystemModstamp,datetime,0,0,0,False
Password Expiration Date,PasswordExpirationDate,datetime,0,0,0,False
Failed Login Attempts,NumberOfFailedLogins,int,0,0,0,False
SU Access Expiration Date,SuAccessExpirationDate,date,0,0,0,False
Offline Edition Trial Expiration Date,OfflineTrialExpirationDate,datetime,0,0,0,False
Sales Anywhere Trial Expiration Date,OfflinePdaTrialExpirationDate,datetime,0,0,0,False
Marketing User,UserPermissionsMarketingUser,boolean,0,0,0,False
Offline User,UserPermissionsOfflineUser,boolean,0,0,0,False
AvantGo User,UserPermissionsAvantgoUser,boolean,0,0,0,False
Auto-login To Call Center,UserPermissionsCallCenterAutoLogin,boolean,0,0,0,False
Salesforce CRM Content User,UserPermissionsSFContentUser,boolean,0,0,0,False
Flow User,UserPermissionsInteractionUser,boolean,0,0,0,False
Service Cloud User,UserPermissionsSupportUser,boolean,0,0,0,False
Chat User,UserPermissionsLiveAgentUser,boolean,0,0,0,False
Allow Forecasting,ForecastEnabled,boolean,0,0,0,False
ActivityRemindersPopup,UserPreferencesActivityRemindersPopup,boolean,0,0,0,False
EventRemindersCheckboxDefault,UserPreferencesEventRemindersCheckboxDefault,boolean,0,0,0,False
TaskRemindersCheckboxDefault,UserPreferencesTaskRemindersCheckboxDefault,boolean,0,0,0,False
ReminderSoundOff,UserPreferencesReminderSoundOff,boolean,0,0,0,False
DisableAllFeedsEmail,UserPreferencesDisableAllFeedsEmail,boolean,0,0,0,False
DisableFollowersEmail,UserPreferencesDisableFollowersEmail,boolean,0,0,0,False
DisableProfilePostEmail,UserPreferencesDisableProfilePostEmail,boolean,0,0,0,False
DisableChangeCommentEmail,UserPreferencesDisableChangeCommentEmail,boolean,0,0,0,False
DisableLaterCommentEmail,UserPreferencesDisableLaterCommentEmail,boolean,0,0,0,False
DisProfPostCommentEmail,UserPreferencesDisProfPostCommentEmail,boolean,0,0,0,False
ContentNoEmail,UserPreferencesContentNoEmail,boolean,0,0,0,False
ContentEmailAsAndWhen,UserPreferencesContentEmailAsAndWhen,boolean,0,0,0,False
ApexPagesDeveloperMode,UserPreferencesApexPagesDeveloperMode,boolean,0,0,0,False
ReceiveNoNotificationsAsApprover,UserPreferencesReceiveNoNotificationsAsApprover,boolean,0,0,0,False
ReceiveNotificationsAsDelegatedApprover,UserPreferencesReceiveNotificationsAsDelegatedApprover,boolean,0,0,0,False
HideCSNGetChatterMobileTask,UserPreferencesHideCSNGetChatterMobileTask,boolean,0,0,0,False
DisableMentionsPostEmail,UserPreferencesDisableMentionsPostEmail,boolean,0,0,0,False
DisMentionsCommentEmail,UserPreferencesDisMentionsCommentEmail,boolean,0,0,0,False
HideCSNDesktopTask,UserPreferencesHideCSNDesktopTask,boolean,0,0,0,False
HideChatterOnboardingSplash,UserPreferencesHideChatterOnboardingSplash,boolean,0,0,0,False
HideSecondChatterOnboardingSplash,UserPreferencesHideSecondChatterOnboardingSplash,boolean,0,0,0,False
DisCommentAfterLikeEmail,UserPreferencesDisCommentAfterLikeEmail,boolean,0,0,0,False
DisableLikeEmail,UserPreferencesDisableLikeEmail,boolean,0,0,0,False
SortFeedByComment,UserPreferencesSortFeedByComment,boolean,0,0,0,False
DisableMessageEmail,UserPreferencesDisableMessageEmail,boolean,0,0,0,False
DisableBookmarkEmail,UserPreferencesDisableBookmarkEmail,boolean,0,0,0,False
DisableSharePostEmail,UserPreferencesDisableSharePostEmail,boolean,0,0,0,False
EnableAutoSubForFeeds,UserPreferencesEnableAutoSubForFeeds,boolean,0,0,0,False
DisableFileShareNotificationsForApi,UserPreferencesDisableFileShareNotificationsForApi,boolean,0,0,0,False
ShowTitleToExternalUsers,UserPreferencesShowTitleToExternalUsers,boolean,0,0,0,False
ShowManagerToExternalUsers,UserPreferencesShowManagerToExternalUsers,boolean,0,0,0,False
ShowEmailToExternalUsers,UserPreferencesShowEmailToExternalUsers,boolean,0,0,0,False
